RowId,Location
1,65.9707183838
2,35.7935447693
3,29.4735774994
4,36.1998825073
5,58.7724952698
6,36.0855407715
7,74.3536758423
8,35.9330368042
9,37.2888870239
10,37.3257293701
11,21.5452384949
12,37.7257232666
13,56.5368804932
14,26.2717208862
15,79.4266586304
16,26.2541065216
17,39.8256988525
18,28.1938743591
19,13.7532949448
20,30.5639724731
21,51.5329322815
22,57.5062713623
23,65.5816421509
24,71.1296691895
25,32.3110198975
26,72.8060531616
27,49.5386657715
28,71.1519699097
29,49.4855651855
30,78.4359970093
31,67.9179382324
32,33.4788513184
33,29.6977519989
34,34.3376350403
35,61.6259346008
36,33.4768371582
37,74.0767745972
38,34.4393539429
39,37.0840988159
40,34.3445968628
41,23.9039897919
42,36.0569076538
43,58.4109268188
44,23.4363498688
45,80.4823303223
46,23.7449645996
47,38.9042663574
48,25.8803215027
49,16.5311698914
50,28.4895763397
51,49.4632644653
52,49.2064590454
53,65.4359970093
54,71.2994232178
55,37.095539093
56,71.970375061
57,50.2603416443
58,66.2022247314
59,50.3795127869
60,79.8449935913
61,64.4718322754
62,35.5132446289
63,30.7352180481
64,39.3722229004
65,58.6180229187
66,35.9359207153
67,69.8055419922
68,35.9742851257
69,36.6488800049
70,39.3084106445
71,25.4086551666
72,40.5033187866
73,55.8927993774
74,28.7080612183
75,75.5894088745
76,26.3560180664
77,36.6548500061
78,31.0559501648
79,19.3949241638
80,32.2792015076
81,47.1748123169
82,47.3699226379
83,64.1338500977
84,68.375793457
85,37.7451667786
86,71.5917663574
87,50.2531089783
88,63.2029838562
89,50.8579788208
90,75.3283691406
91,66.6475906372
92,35.8203697205
93,28.8518447876
94,35.7570953369
95,59.4665145874
96,36.9270248413
97,72.3930587769
98,37.4339485168
99,35.4810218811
100,37.1116027832
101,22.5144996643
102,36.5648384094
103,56.7928657532
104,28.8674545288
105,79.6746749878
106,30.4530181885
107,38.0663070679
108,28.0903778076
109,15.0581960678
110,30.1265888214
111,48.2100296021
112,54.7592124939
113,61.9361419678
114,75.601020813
115,33.6422462463
116,74.8358688354
117,47.8618850708
118,70.7857055664
119,47.9187660217
120,82.4327926636
121,65.5280685425
122,35.3745613098
123,29.1037559509
124,36.6660842896
125,57.8552207947
126,36.1108512878
127,73.7965621948
128,35.2936401367
129,36.8549880981
130,37.8301353455
131,21.4029521942
132,37.8857078552
133,53.7243728638
134,30.3048973083
135,79.6215896606
136,27.335067749
137,38.0696640015
138,30.6508102417
139,15.3228092194
140,31.565164566
141,46.3071861267
142,57.5999221802
143,64.5088729858
144,73.1868133545
145,34.4358444214
146,75.0548629761
147,48.2110595703
148,71.4649734497
149,48.2425537109
150,80.3556365967
151,65.1645355225
152,34.5921974182
153,29.3754425049
154,36.2462005615
155,60.4043121338
156,37.065952301
157,71.7618103027
158,36.289276123
159,35.5745811462
160,37.5915336609
161,22.9012470245
162,38.1527633667
163,56.5741882324
164,28.8118934631
165,78.0614776611
166,28.1516990662
167,37.5140037537
168,28.9502735138
169,17.0804958344
170,31.1661090851
171,49.9958496094
172,52.0361061096
173,64.5344924927
174,73.1561508179
175,36.4084129333
176,75.0187225342
177,50.4052734375
178,67.4405441284
179,51.1842269897
180,81.2068634033
181,66.8764038086
182,37.5153312683
183,28.8475246429
184,39.0037918091
185,60.2615356445
186,39.2110977173
187,74.2707672119
188,39.2452735901
189,35.6904220581
190,38.8570327759
191,22.1002922058
192,39.6216430664
193,56.1449966431
194,30.4787254333
195,80.1246948242
196,29.9553432465
197,37.0351142883
198,30.7479515076
199,14.4486865997
200,31.1328678131
201,46.9024009705
202,57.1480369568
203,63.8097305298
204,77.9216003418
205,33.0428390503
206,78.912612915
207,47.979724884
208,73.3575439453
209,48.0380859375
210,86.7501602173
211,64.735534668
212,37.132598877
213,30.973323822
214,36.2744789124
215,59.5669326782
216,37.3136405945
217,71.2459793091
218,37.6112594604
219,36.8360481262
220,37.3299369812
221,25.9754161835
222,37.5251502991
223,55.7306404114
224,28.3318634033
225,76.9113006592
226,29.0023059845
227,39.7653236389
228,28.6906013489
229,20.348487854
230,29.4477596283
231,47.009563446
232,57.7497787476
233,61.9023666382
234,68.9169082642
235,35.5648117065
236,67.9873428345
237,47.5778884888
238,65.8260345459
239,47.4551010132
240,76.5120010376
241,66.2750167847
242,33.1084403992
243,29.7668914795
244,37.1667060852
245,59.755317688
246,34.8895874023
247,74.4591827393
248,32.6864852905
249,36.6211013794
250,38.0319862366
251,21.9795227051
252,38.5028266907
253,54.553237915
254,26.5950241089
255,79.162979126
256,22.0806465149
257,35.5119400024
258,29.7535915375
259,15.7448987961
260,31.9297103882
261,48.1948242188
262,60.2468299866
263,68.6287689209
264,74.0798568726
265,37.434299469
266,77.1706542969
267,52.1490707397
268,76.2777709961
269,52.9910621643
270,82.1444168091
271,65.005821228
